Start;End;Distance
ZJCO;Z291;15
ZJCO;B28;58
ZJCO;B27;57
ZJEF;XEP;37
ZJEF;ZPLA;49
ZLEC;XB33;51
ZLEC;ZETE;71
ZLEC;FTEJ;26
ZLEC;FDL;24
ZLEC;B38;40
ZLEC;ZBIB;69
ZPCU;FCP;66
ZPCU;B7;43
ZPCU;GVPR;68
ZPCU;ZPLC;40
ZPCU;B3;62
ZPCU;FDOG;60
ZPIM;XPIM;56
ZPLA;ZJEF;55
ZPLA;FDOG;1
ZPLA;ZBIB;71
ZPLA;ZT29;47
ZPLA;XPIM;44
ZPLA;XB33;39
ZPLA;B29;40
ZPLA;XEP;63
ZPLC;ZPCU;35
ZPLC;FDOG;25
ZSCF;XB17;60
ZSCF;B18;39
ZT29;B3;1
ZT29;ZJCO;30
ZT29;B26;65
ZT29;ZPLA;58
ZT29;Z291;70
ZT29;B29;39
ZT29;XPIM;26
ZT29;FDOG;12
ZTAR;ZCAR;45
