Student ID,Subject ID,Group ID
118,CT0648,81
119,DE0055,1
119,DE0143,3
119,DE0680,1
120,PT0131,1
120,ST0258,1
120,ST0217,1
121,PT0181,1
121,CT0254,2
121,CT0647,81
121,CT0258,2
121,IC0622,21
122,BI0497,1
122,BI0488,1
122,BI0488,1
122,BI0489,2
122,BI0489,2
122,PT0309,1
123,DF0313,1
123,DF0070,1
124,DE0132,1
124,DE0125,1
124,DE0129,2
124,HL0550,2
124,DE0086,1
124,DE0127,1
125,EC0102,7
125,OG0123,4
125,ME0104,3
125,ME0104,3
126,CO0132,1
126,OG0128,5
126,EC0103,3
126,FI0131,6
126,BU0009,30
127,OG0351,1
127,OG0125,1
127,NI0247,5
128,BU0220,26
128,BU0220,26
128,PS0301,1
128,BU0008,30
129,OG0279,1
129,BU0009,4
129,OG0591,2
129,EC0101,13
129,DE0119,6
129,BU0180,3
130,OG0347,7
130,EC0103,5
130,DE0215,1
131,PT0113,4
131,ME0238,1
131,ME0253,4
131,ME0058,2
131,PR0311,7
132,CT0310,4
132,NI0191,1
132,ME0172,1
133,FI0240,1
133,FI0157,2
133,FI0170,2
133,CM0109,1
133,FI0239,1
134,PS0302,1
134,PS0306,2
134,PS0308,2
135,DE0215,2
135,DE0221,1
136,ID0615,202
136,ID0618,202
136,IM0611,106
137,CS0232,2
137,CS0234,2
137,CS0092,1
137,HL0355,2
138,IC0265,3
138,IC0267,1
138,IC0266,1
138,CT0272,1
139,OG0064,1
139,NI0270,1
139,EC0301,1
140,DE0086,6
140,CM0028,1
140,DE0011,1
140,BU0008,30
141,CT0647,81
141,CT0258,2
141,IC0659,21
142,IC0653,28
142,IC0653,28
143,NI0221,3
143,OG0125,1
143,OG0124,2
143,OG0131,5
143,CO0233,1
143,OG0350,1
144,EC0101,25
144,CM0211,6
145,BU0228,1
145,ME0171,4
145,OG0128,3
145,OG0260,8
145,DE0120,5
146,IC0273,2
146,PT0161,1
147,NI0285,2
147,EC0102,11
147,CM0212,2
147,NI0100,4
147,NI0286,1
148,FI0140,3
148,OG0125,1
148,ME0171,2
148,OG0122,7
148,ME0158,1
148,NI0286,4
149,ME0234,1
149,ME0240,2
149,CT0310,1
149,ME0236,1
149,ME0070,2
149,ME0235,2
150,IC0657,28
150,IC0657,28
151,EC0314,1
151,FI0035,2
151,PT0111,1
152,EC0113,2
152,EC0245,2
152,CM0109,2
152,DE0152,1
152,EC0112,4
152,EC0112,4
153,DE0085,4
153,DE0124,1
153,EC0266,1
153,DE0125,1
153,DE0121,1
